Domain,Type,Sponsoring Organisation ,Date
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2023-06-08
.sexy,generic,"Uniregistry, Corp.",2023-06-08
.shiksha,generic,Afilias Limited,2023-06-08
.shoes,generic,"Binky Galley, LLC",2023-06-08
.shriram,generic,Shriram Capital Ltd.,2023-06-08
.singles,generic,"Fern Madison, LLC",2023-06-08
.site,generic,DotSite Inc.,2023-06-08
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2023-06-08
.social,generic,United TLD Holdco Ltd.,2023-06-08
.software,generic,"United TLD Holdco, Ltd",2023-06-08
.sohu,generic,Sohu.com Limited,2023-06-08
.solar,generic,"Ruby Town, LLC",2023-06-08
.solutions,generic,"Silver Cover, LLC",2023-06-08
.soy,generic,Charleston Road Registry Inc.,2023-06-08
.space,generic,DotSpace Inc.,2023-06-08
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2023-06-08
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2023-06-08
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2023-06-08
.style,generic,"Binky Moon, LLC",2023-06-08
.sucks,generic,Vox Populi Registry Inc.,2023-06-08
.supplies,generic,"Atomic Fields, LLC",2023-06-08
.supply,generic,"Half Falls, LLC",2023-06-08
.support,generic,"Grand Orchard, LLC",2023-06-08
.surf,generic,Top Level Domain Holdings Limited,2023-06-08
.surgery,generic,"Tin Avenue, LLC",2023-06-08
.suzuki,generic,SUZUKI MOTOR CORPORATION,2023-06-08
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2023-06-08
.systems,generic,"Dash Cypress, LLC",2023-06-08
.taipei,generic,Taipei City Government,2023-06-08
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2023-06-08
.tattoo,generic,"Uniregistry, Corp.",2023-06-08
.tax,generic,"Storm Orchard, LLC",2023-06-08
.tech,generic,Dot Tech LLC,2023-06-08
.technology,generic,"Auburn Falls, LLC",2023-06-08
.temasek,generic,Temasek Holdings (Private) Limited,2023-06-08
.tennis,generic,"Cotton Bloom, LLC",2023-06-08
.tickets,generic,Accent Media Limited,2023-06-08
.tienda,generic,"Victor Manor, LLC",2023-06-08
.tips,generic,"Corn Willow, LLC",2023-06-08
.tires,generic,"Dog Edge, LLC",2023-06-08
.tirol,generic,punkt Tirol GmbH,2023-06-08
.today,generic,"Pearl Woods, LLC",2023-06-08
.tokyo,generic,"GMO Registry, Inc.",2023-06-08
.tools,generic,"Pioneer North, LLC",2023-06-08
